Site_ID,Market,Density,FY,Cost_Line_Description,Amount_USD,Traffic_TB_annual
SITE-10000,TN Border,Rural,2025,Tower / Collocation,26180.65,115.78
SITE-10000,TN Border,Rural,2025,MW transport — 3rd party,16309.87,115.78
SITE-10000,TN Border,Rural,2025,Fiber backhaul circuit,13655.27,115.78
SITE-10000,TN Border,Rural,2025,Field workforce (contract),22211.84,115.78
SITE-10000,TN Border,Rural,2025,OEM RAN maint.,14476.81,115.78
SITE-10000,TN Border,Rural,2025,Power & gen fuel,5812.28,115.78
SITE-10000,TN Border,Rural,2025,Small cell attach fees,5109.12,115.78
SITE-10000,TN Border,Rural,2025,NOC / dispatch (allocated),7060.95,115.78
SITE-10000,TN Border,Rural,2025,Spares & logistics,5501.65,115.78
SITE-10001,AL Panhandle,Suburban,2025,Tower / Collocation,20754.38,79.58
SITE-10001,AL Panhandle,Suburban,2025,MW transport — 3rd party,13766.05,79.58
SITE-10001,AL Panhandle,Suburban,2025,Fiber backhaul circuit,10563.46,79.58
SITE-10001,AL Panhandle,Suburban,2025,Field workforce (contract),14232.22,79.58
SITE-10001,AL Panhandle,Suburban,2025,OEM RAN maint.,12022.86,79.58
SITE-10001,AL Panhandle,Suburban,2025,Power & gen fuel,5207.44,79.58
SITE-10001,AL Panhandle,Suburban,2025,Small cell attach fees,4425.5,79.58
SITE-10001,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),5811.51,79.58
SITE-10001,AL Panhandle,Suburban,2025,Spares & logistics,4570.07,79.58
SITE-10002,TN Border,Rural,2025,Tower / Collocation,25244.06,34.91
SITE-10002,TN Border,Rural,2025,MW transport — 3rd party,16169.28,34.91
SITE-10002,TN Border,Rural,2025,Fiber backhaul circuit,11987.69,34.91
SITE-10002,TN Border,Rural,2025,Field workforce (contract),21945.45,34.91
SITE-10002,TN Border,Rural,2025,OEM RAN maint.,14385.33,34.91
SITE-10002,TN Border,Rural,2025,Power & gen fuel,6642.27,34.91
SITE-10002,TN Border,Rural,2025,Small cell attach fees,5006.48,34.91
SITE-10002,TN Border,Rural,2025,NOC / dispatch (allocated),7060.56,34.91
SITE-10002,TN Border,Rural,2025,Spares & logistics,5124.91,34.91
SITE-10003,TN Border,Urban,2025,Tower / Collocation,20862.59,19.3
SITE-10003,TN Border,Urban,2025,MW transport — 3rd party,13765.29,19.3
SITE-10003,TN Border,Urban,2025,Fiber backhaul circuit,10756.53,19.3
SITE-10003,TN Border,Urban,2025,Field workforce (contract),15146.15,19.3
SITE-10003,TN Border,Urban,2025,OEM RAN maint.,12032.08,19.3
SITE-10003,TN Border,Urban,2025,Power & gen fuel,5263.42,19.3
SITE-10003,TN Border,Urban,2025,Small cell attach fees,4122.41,19.3
SITE-10003,TN Border,Urban,2025,NOC / dispatch (allocated),6266.31,19.3
SITE-10003,TN Border,Urban,2025,Spares & logistics,4457.24,19.3
SITE-10004,Rural West,Suburban,2025,Tower / Collocation,19736.8,67.38
SITE-10004,Rural West,Suburban,2025,MW transport — 3rd party,13703.11,67.38
SITE-10004,Rural West,Suburban,2025,Fiber backhaul circuit,9646.58,67.38
SITE-10004,Rural West,Suburban,2025,Field workforce (contract),16002.39,67.38
SITE-10004,Rural West,Suburban,2025,OEM RAN maint.,11725.32,67.38
SITE-10004,Rural West,Suburban,2025,Power & gen fuel,5267.41,67.38
SITE-10004,Rural West,Suburban,2025,Small cell attach fees,4440.9,67.38
SITE-10004,Rural West,Suburban,2025,NOC / dispatch (allocated),5910.89,67.38
SITE-10004,Rural West,Suburban,2025,Spares & logistics,4296.74,67.38
SITE-10005,South MS,Urban,2025,Tower / Collocation,21508.33,17.96
SITE-10005,South MS,Urban,2025,MW transport — 3rd party,14327.67,17.96
SITE-10005,South MS,Urban,2025,Fiber backhaul circuit,10581.3,17.96
SITE-10005,South MS,Urban,2025,Field workforce (contract),15948.72,17.96
SITE-10005,South MS,Urban,2025,OEM RAN maint.,11670.24,17.96
SITE-10005,South MS,Urban,2025,Power & gen fuel,5143.72,17.96
SITE-10005,South MS,Urban,2025,Small cell attach fees,4290.26,17.96
SITE-10005,South MS,Urban,2025,NOC / dispatch (allocated),5763.36,17.96
SITE-10005,South MS,Urban,2025,Spares & logistics,3930.96,17.96
SITE-10006,Rural West,Suburban,2025,Tower / Collocation,22128.27,43.54
SITE-10006,Rural West,Suburban,2025,MW transport — 3rd party,13781.48,43.54
SITE-10006,Rural West,Suburban,2025,Fiber backhaul circuit,9731.93,43.54
SITE-10006,Rural West,Suburban,2025,Field workforce (contract),14764.83,43.54
SITE-10006,Rural West,Suburban,2025,OEM RAN maint.,11046.72,43.54
SITE-10006,Rural West,Suburban,2025,Power & gen fuel,5232.12,43.54
SITE-10006,Rural West,Suburban,2025,Small cell attach fees,4288.78,43.54
SITE-10006,Rural West,Suburban,2025,NOC / dispatch (allocated),6220.27,43.54
SITE-10006,Rural West,Suburban,2025,Spares & logistics,4361.73,43.54
SITE-10007,South MS,Suburban,2025,Tower / Collocation,19828.01,78.82
SITE-10007,South MS,Suburban,2025,MW transport — 3rd party,13295.01,78.82
SITE-10007,South MS,Suburban,2025,Fiber backhaul circuit,9785.12,78.82
SITE-10007,South MS,Suburban,2025,Field workforce (contract),15844.34,78.82
SITE-10007,South MS,Suburban,2025,OEM RAN maint.,11354.32,78.82
